Release 8.1i - Fit K.31
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-17-2015  2:39PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  clock.ngd
output file: clock_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     vq64

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,I/O/GTS2,,,,,,,,,,
P3,VCC,,VCCINT,,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,TIE,,I/O/GTS1,,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,TIE,,I/O,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,GND,,GND,,,,,,,,,,
P15,TIE,,I/O/GCK1,,,,,,,,,,
P16,TIE,,I/O/GCK2,,,,,,,,,,
P17,master_clock,I,I/O/GCK3,INPUT,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,VCC,,VCCINT,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,GND,,GND,,,,,,,,,,
P42,TIE,,I/O,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,TIE,,I/O,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,TDO,,TDO,,,,,,,,,,
P54,GND,,GND,,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,fpga_clock_a,O,I/O,OUTPUT,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,TIE,,I/O/GSR,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


